Praha 1 | 110 00 
Praha 10 | 100 00 
Praha 11 | 149 00 
Praha 12 | 143 00 
Praha 13 | 155 00 
Praha 14 | 198 00 
Praha 15 | 109 00 
Praha 16 | 153 00 
Praha 17 | 163 00 
Praha 18 | 199 00 
Praha 19 | 197 00 
Praha 2 | 120 00 
Praha 20 | 193 00 
Praha 21 | 190 16 
Praha 22 | 104 00 
Praha 3 | 130 00 
Praha 4 | 140 00 
Praha 5 | 150 00 
Praha 6 | 160 00 
Praha 7 | 170 00 
Praha 8 | 180 00 
Praha 9 | 190 00 
Praha-Běchovice | 190 11 
Praha-Benice | 103 00 
Praha-Březiněves | 182 00 
Praha-Čakovice | 196 00 
Praha-Ďáblice | 182 00 
Praha-Dolní Chabry | 184 00 
Praha-Dolní Měcholupy | 109 00 
Praha-Dolní Počernice | 190 12 
Praha-Dubeč | 107 00 
Praha-Klánovice | 190 14 
Praha-Koloděje | 190 16 
Praha-Kolovraty | 103 00 
Praha-Královice | 104 00 
Praha-Křeslice | 104 00 
Praha-Kunratice | 148 00 
Praha-Libuš | 142 00 
Praha-Lipence | 155 31 
Praha-Lochkov | 154 00 
Praha-Lysolaje | 165 00 
Praha-Nebušice | 164 00 
Praha-Nedvězí | 103 00 
Praha-Petrovice | 109 00 
Praha-Přední Kopanina | 164 00 
Praha-Řeporyje | 155 00 
Praha-Satalice | 190 15 
Praha-Slivenec | 154 00 
Praha-Suchdol | 165 00 
Praha-Šeberov | 149 00 
Praha-Štěrboholy | 102 00 
Praha-Troja | 171 00 
Praha-Újezd | 149 00 
Praha-Velká Chuchle | 159 00 
Praha-Vinoř | 190 17 
Praha-Zbraslav | 156 00 
Praha-Zličín | 155 21
- 
Benešov | 256 01 
Bernartice | 257 65 
Bílkovice | 257 26 
Blažejovice | 257 68 
Borovnice | 257 65 
Bukovany | 257 41 
Bystřice | 257 51 
Ctiboř | 258 01 
Čakov | 257 24 
Čechtice | 257 65 
Čerčany | 257 22 
Červený Újezd | 257 88 
Český Šternberk | 257 26 
Čtyřkoly | 257 22 
Děkanovice | 257 68 
Divišov | 257 26 
Dolní Kralovice | 257 68 
Drahňovice | 257 26 
